index,totalseconds,Pre_Prefence_Nuts,Haloeffect_new,Impression_Influencer,Haloeffectfeedback,Howmuchdoyoulikethenutsnacknow,Willyoubuysuchnutsnackinthelivescreamingecommerceflatform,Bandwagoneffect_new,Perceived_Valence_Comment,Bandwagonfeedback,Howmuchdoyoulikethenutsnacknow_A,Willyoubuysuchnutsnackinthelivescreamingecommerceflatform_A,Recallofproductonsalefeedback,Retestofpreferenceontheproduct,Recallofhostimage,doyouliketheproductafterhostrecommendation,Recallofdirectionoflivecomments,Eventuallydoyouliketheproduct,Buy_Intention,Gender,Age,Income,totalvalue,Group
88,173,3,3,6,4,5,4,1,1,3,3,1,3,2,1,4,1,6,6,1,3,3,48,3
89,198,5,3,7,4,6,6,1,3,4,4,3,3,6,1,7,3,5,5,2,3,4,65,3
167,163,2,3,7,3,5,4,1,2,1,1,2,3,5,4,4,1,3,1,2,4,3,40,3
269,180,1,3,6,6,3,4,1,2,1,3,1,3,1,1,5,1,6,3,2,7,3,42,3
372,115,5,3,7,4,1,1,1,2,3,2,1,3,3,1,1,1,1,1,1,1,1,32,3
423,193,1,3,6,5,2,4,1,2,1,1,1,3,2,1,4,1,1,3,2,6,3,33,3
490,145,1,3,7,4,1,4,1,2,3,2,1,3,1,1,4,1,2,5,2,3,3,37,3
3,146,5,3,7,2,3,1,1,2,5,4,5,3,3,1,2,3,1,1,2,6,6,41,3
131,130,1,3,7,3,5,5,1,3,6,1,1,3,2,1,4,3,3,5,2,1,1,46,3
138,107,1,3,6,5,5,3,1,1,7,3,1,3,2,1,2,3,1,1,1,1,1,38,3
142,120,1,3,5,4,2,2,1,3,5,1,3,3,3,1,3,2,1,2,1,2,2,35,3
152,193,1,3,7,4,4,1,1,2,5,1,3,3,4,1,2,2,2,5,1,1,1,41,3
165,210,5,3,7,6,7,4,1,3,6,5,5,3,6,1,5,3,5,7,2,4,5,71,3
242,219,5,3,6,4,7,4,1,1,6,2,1,3,5,4,5,3,6,5,2,6,3,57,3
290,196,5,3,7,7,7,5,1,1,5,2,3,3,7,1,5,3,6,7,1,6,6,67,3
382,177,6,3,7,7,4,7,1,1,5,3,1,3,6,1,4,3,7,5,1,5,6,63,3
397,114,5,3,7,4,6,5,1,2,7,1,3,3,6,1,4,3,6,5,2,3,3,61,3
403,125,3,3,7,1,1,3,1,3,6,3,1,3,3,1,3,3,2,5,2,1,1,41,3
446,205,1,3,5,3,6,4,1,1,5,2,3,3,1,1,2,3,2,1,2,1,1,36,3
458,108,2,3,6,1,3,1,1,2,7,1,3,3,2,1,4,3,1,1,2,1,1,34,3
195,185,1,3,7,5,6,3,1,1,1,1,1,3,2,2,2,1,1,2,2,3,3,33,3
196,173,1,3,7,5,6,3,1,1,1,1,1,3,2,2,2,1,1,2,2,3,3,33,3
303,204,1,3,7,2,1,1,1,1,5,1,4,3,2,4,2,1,2,1,1,1,1,30,3
482,110,6,3,7,2,5,2,1,3,2,5,5,3,5,2,4,1,7,5,2,3,3,58,3
67,150,4,3,5,4,5,4,1,3,5,4,6,3,5,2,6,1,7,5,2,1,1,63,3
94,164,7,3,7,6,7,7,1,2,6,1,1,3,7,2,7,3,6,7,1,2,3,71,3
118,188,6,3,7,6,4,5,1,2,5,1,1,3,7,2,6,3,6,5,2,6,6,61,3
255,177,1,3,5,2,2,1,1,2,4,2,5,3,3,2,3,3,4,1,1,2,2,35,3
272,169,1,3,5,1,4,4,1,2,7,2,4,3,2,2,1,3,1,1,2,3,3,35,3
282,188,5,3,5,4,7,5,1,2,5,1,1,3,5,2,5,3,6,5,2,4,3,56,3
388,173,7,3,6,4,5,7,1,3,7,5,3,3,7,2,6,3,7,6,1,3,3,73,3
24,153,4,3,6,6,6,4,1,1,2,3,1,3,7,3,6,2,5,7,1,4,3,58,3
84,219,7,3,5,5,4,5,1,1,3,2,1,3,6,3,7,2,7,4,2,3,4,57,3
103,219,5,3,7,4,7,5,1,3,3,4,3,3,5,3,4,3,5,5,1,2,3,60,3
104,208,4,3,5,6,7,4,1,2,3,1,1,3,5,3,7,2,7,5,2,3,4,57,3
173,183,1,3,5,7,5,4,1,2,2,1,1,3,3,3,3,2,5,5,1,2,2,44,3
187,126,1,3,5,2,1,2,1,2,4,3,5,3,1,4,5,2,2,3,2,5,5,36,3
208,187,7,3,6,4,4,6,1,2,2,1,1,3,7,3,1,2,1,2,2,2,2,44,3
220,161,6,3,5,6,7,5,1,3,2,4,5,3,6,4,1,2,1,1,2,3,4,52,3
228,223,4,3,6,5,3,3,1,1,2,2,1,3,3,3,4,2,2,1,1,7,2,37,3
263,197,6,3,6,5,4,4,1,1,3,1,1,3,7,3,4,2,7,5,1,7,3,54,3
271,187,5,3,6,3,3,6,1,3,2,1,3,3,3,3,4,2,2,5,1,6,6,46,3
441,197,5,3,6,7,5,7,1,2,2,1,1,3,2,3,4,2,5,3,1,3,3,50,3
473,141,5,3,5,2,3,1,1,3,2,3,6,3,3,3,1,2,1,3,1,5,7,38,3
129,146,5,3,6,4,4,3,1,3,5,5,4,3,2,1,5,1,4,4,1,5,5,54,3
229,185,6,3,5,2,6,3,1,3,3,6,5,3,5,4,4,1,5,2,1,5,2,55,3
1,885,7,3,5,3,6,6,1,2,3,6,4,3,6,1,5,1,3,5,2,6,2,61,3
38,80,7,3,7,6,6,6,1,3,5,4,4,3,7,1,7,2,6,6,2,2,2,74,3
95,104,4,3,5,4,5,5,1,3,4,4,3,3,4,1,4,3,4,3,2,3,3,52,3
142,185,3,3,5,5,2,3,1,1,1,1,2,3,2,1,3,3,3,2,2,3,1,33,3
187,528,5,3,5,5,3,2,1,2,2,3,2,3,5,1,2,2,3,2,2,7,2,41,3
208,80,5,3,5,3,5,4,1,2,4,5,4,3,5,1,4,3,4,4,2,2,2,54,3
175,207,3,3,7,7,3,4,1,1,7,7,1,3,7,2,1,3,1,1,1,6,1,50,3
213,223,5,3,5,5,2,4,1,2,7,2,1,3,3,2,3,3,2,1,2,4,2,42,3
83,111,7,3,7,1,7,7,1,1,4,4,4,3,7,1,7,2,7,7,1,2,1,70,3
146,115,7,3,5,4,5,5,1,3,5,5,5,3,6,1,5,2,5,5,1,6,2,65,3
166,82,5,3,5,4,5,5,1,3,3,5,5,3,5,3,4,2,5,5,1,6,4,59,3
17,138,5,1,3,2,2,5,3,6,5,6,5,3,7,1,2,2,1,1,1,5,6,50,4
20,206,3,1,2,6,7,7,3,5,5,7,5,3,1,1,5,1,6,7,2,3,3,66,4
85,107,5,1,2,5,4,5,3,6,5,7,7,3,2,1,4,1,6,7,2,6,7,65,4
102,125,6,1,2,7,6,5,3,7,5,5,5,3,5,1,5,3,6,4,2,3,3,68,4
114,210,5,1,2,5,5,3,3,6,5,6,7,3,2,1,1,1,1,2,1,3,3,50,4
137,177,7,1,1,5,7,7,3,7,6,5,6,3,7,1,1,1,3,1,1,3,3,63,4
150,129,6,1,2,5,4,5,3,5,7,7,4,3,5,1,4,1,7,6,2,3,3,67,4
180,162,5,1,2,5,4,4,3,6,5,6,5,3,5,1,6,1,5,7,1,4,5,65,4
205,194,7,1,2,4,7,7,3,6,5,6,5,3,6,1,5,1,7,5,1,3,3,72,4
283,142,2,1,2,4,3,4,3,6,1,4,3,3,2,1,1,1,2,3,1,6,7,37,4
294,124,6,1,2,7,6,4,3,7,5,5,5,3,5,4,1,1,1,3,2,3,3,57,4
306,195,6,1,2,5,7,4,3,7,4,7,6,3,6,1,5,1,7,7,2,7,3,73,4
327,156,5,1,3,4,7,7,3,5,5,7,5,3,7,1,4,1,7,7,1,6,7,73,4
345,152,7,1,2,5,4,6,3,6,5,7,5,3,7,1,7,1,6,5,2,5,6,72,4
377,128,6,1,3,6,4,5,3,6,5,7,5,3,5,1,4,1,6,4,1,2,2,66,4
400,142,7,1,2,4,6,6,3,7,5,6,5,3,6,1,6,1,7,6,1,7,6,73,4
452,103,5,1,2,7,7,4,3,7,5,6,4,3,7,1,4,1,7,6,1,7,2,71,4
474,204,3,1,2,5,3,5,3,7,4,7,5,3,5,1,6,1,6,6,2,4,3,64,4
51,204,5,1,2,6,7,7,3,7,4,5,7,3,7,1,6,3,7,7,2,4,6,77,4
54,138,1,1,2,2,1,1,3,7,2,7,7,3,1,1,1,3,1,1,2,2,2,34,4
66,192,6,1,3,6,7,7,3,5,3,4,7,3,5,1,6,3,7,5,1,2,2,71,4
75,190,5,1,3,4,4,5,3,7,4,5,5,3,2,1,7,3,5,6,1,2,2,62,4
145,133,6,1,2,4,5,5,3,7,3,7,5,3,7,1,7,3,7,5,2,7,5,70,4
149,107,7,1,2,6,7,5,3,6,7,3,3,3,5,1,4,3,6,5,2,7,3,66,4
214,142,6,1,3,7,6,4,3,6,4,7,6,3,7,4,7,3,6,5,1,2,2,74,4
268,153,1,1,3,4,4,7,3,6,2,6,5,3,1,1,6,3,7,6,2,3,3,58,4
309,150,6,1,2,4,5,5,3,7,3,7,4,3,5,1,4,3,7,7,1,3,3,66,4
379,113,7,1,2,6,7,5,3,7,2,5,7,3,5,1,4,3,6,7,1,7,2,70,4
389,111,6,1,2,4,7,6,3,6,2,6,5,3,5,1,4,3,7,5,2,2,2,65,4
391,154,6,1,2,7,7,4,3,7,3,7,7,3,6,1,6,3,7,5,1,7,3,74,4
413,123,5,1,2,4,6,4,3,7,1,5,4,3,7,4,3,3,3,5,1,1,1,56,4
1,184,3,1,2,7,6,7,3,5,4,6,6,3,2,2,5,2,4,3,1,2,3,60,4
7,113,5,1,2,4,7,4,3,5,4,7,4,3,5,2,5,1,5,7,2,7,6,64,4
10,125,2,1,3,4,5,5,3,5,5,7,5,3,5,2,1,1,2,1,2,3,3,50,4
50,214,1,1,2,6,5,4,3,6,6,6,6,3,1,2,4,1,6,7,2,3,3,60,4
62,109,7,1,2,6,6,4,3,5,5,6,6,3,5,2,7,2,6,5,2,2,3,70,4
72,128,1,1,2,7,7,5,3,7,6,7,6,3,1,2,5,1,5,7,1,6,3,66,4
86,150,4,1,1,4,5,6,3,6,5,7,4,3,6,2,7,3,5,6,1,1,1,66,4
135,211,5,1,2,6,7,4,3,7,7,5,5,3,5,2,6,1,6,5,1,4,6,70,4
264,175,5,1,3,5,4,4,3,7,5,6,7,3,5,2,6,1,6,5,1,6,6,68,4
333,197,1,1,2,4,7,4,3,6,5,7,4,3,1,4,1,1,2,3,2,1,1,47,4
342,140,5,1,3,7,5,5,3,6,6,7,7,3,6,2,6,1,7,7,1,4,4,77,4
468,189,7,1,2,7,5,5,3,5,5,6,7,3,6,2,6,1,6,5,1,7,3,72,4
494,162,5,1,3,5,4,5,3,6,6,7,5,3,2,2,7,1,7,7,1,4,6,69,4
6,144,6,1,2,4,7,7,3,7,1,6,6,3,6,2,4,3,7,7,1,3,4,70,4
73,108,5,1,3,5,5,4,3,6,3,6,4,3,5,2,2,3,1,1,1,2,2,50,4
87,131,6,1,2,3,5,5,3,5,1,7,7,3,7,2,6,3,7,5,2,6,5,66,4
100,200,6,1,2,6,4,5,3,5,3,7,4,3,6,2,6,3,7,5,2,6,6,66,4
108,190,4,1,2,5,5,3,3,6,3,7,5,3,5,4,4,3,5,5,2,2,3,59,4
176,209,6,1,3,7,5,4,3,6,2,7,7,3,6,2,4,3,6,5,2,5,6,68,4
198,170,4,1,3,4,7,5,3,5,4,6,7,3,6,2,6,3,7,5,2,3,3,69,4
216,139,6,1,3,6,7,7,3,6,4,6,6,3,6,2,4,3,6,7,1,4,7,74,4
235,179,5,1,3,2,1,1,3,7,4,4,5,3,6,2,4,2,5,5,2,7,1,52,4
259,150,7,1,1,6,5,4,3,6,3,6,6,3,6,4,7,3,5,5,1,3,3,67,4
281,202,4,1,2,5,5,3,3,6,2,6,6,3,3,2,5,3,7,5,2,4,6,59,4
326,205,5,1,2,6,6,7,3,6,2,7,5,3,2,4,6,3,5,7,1,4,3,66,4
334,136,6,1,2,5,5,4,3,6,1,6,6,3,5,2,5,3,4,7,1,7,7,62,4
387,192,3,1,2,4,4,1,3,6,6,6,3,3,5,2,1,3,2,1,1,2,2,44,4
5,110,5,1,2,5,7,7,3,6,6,7,6,3,7,3,6,2,7,7,1,1,1,78,4
22,161,7,1,2,7,7,7,3,5,7,7,5,3,6,3,7,2,5,5,2,2,2,77,4
25,127,2,1,2,4,2,4,3,5,3,6,3,3,5,3,1,2,2,1,2,7,5,40,4
31,116,7,1,2,5,7,4,3,6,5,7,5,3,6,3,5,2,7,5,2,7,3,71,4
36,178,5,1,1,6,6,6,3,6,6,5,6,3,7,4,6,2,6,5,1,5,4,71,4
46,202,5,1,2,7,6,7,3,5,5,7,6,3,7,3,6,1,5,6,2,7,4,74,4
48,149,6,1,2,4,4,4,3,5,6,6,7,3,5,3,1,2,2,3,2,2,2,55,4
55,144,5,1,3,4,7,5,3,6,6,7,5,3,7,3,7,2,5,5,2,7,5,72,4
56,143,5,1,3,7,7,5,3,7,6,6,5,3,7,3,4,2,7,5,1,3,3,74,4
61,202,4,1,1,6,4,5,3,7,7,6,5,3,6,3,5,2,5,6,1,2,2,67,4
71,173,5,1,1,5,3,5,3,7,6,7,5,3,6,3,4,2,5,5,2,1,1,64,4
77,180,4,1,2,7,6,5,3,6,7,7,6,3,5,3,6,2,7,5,1,7,7,73,4
78,115,6,1,2,2,5,2,3,7,6,7,5,3,6,3,5,1,6,7,1,1,1,66,4
79,189,1,1,2,4,2,5,3,6,5,3,3,3,3,3,2,2,1,1,1,1,1,38,4
90,156,6,1,1,4,5,7,3,7,6,7,5,3,7,3,1,3,2,1,1,1,1,59,4
101,107,1,1,1,4,6,4,3,6,6,7,5,3,1,4,4,2,3,5,1,4,6,53,4
106,178,2,1,1,5,3,5,3,6,3,6,6,3,5,3,4,2,7,5,2,2,2,58,4
109,182,7,1,2,4,7,5,3,7,6,6,5,3,7,4,2,2,1,3,1,6,4,62,4
111,188,6,1,2,5,7,6,3,6,6,7,4,3,6,3,5,3,5,5,2,3,4,70,4
117,128,5,1,3,6,5,4,3,6,3,5,4,3,7,3,7,2,6,5,2,6,4,66,4
125,205,2,1,3,5,7,6,3,6,6,5,6,3,5,3,7,2,7,7,2,1,1,72,4
132,144,3,1,1,4,7,5,3,6,5,5,5,3,3,3,6,2,6,7,1,2,2,63,4
134,120,5,1,2,4,4,7,3,5,6,7,5,3,7,3,4,2,3,5,1,3,3,64,4
151,190,6,1,1,2,5,2,3,6,6,4,6,3,7,3,4,3,5,5,1,3,3,59,4
156,115,5,1,1,5,7,7,3,7,6,5,5,3,7,3,4,2,6,5,1,3,3,70,4
160,131,7,1,2,7,5,7,3,6,4,6,5,3,5,3,5,2,6,7,1,1,1,72,4
164,112,5,1,1,7,6,7,3,6,7,7,5,3,7,3,7,2,5,6,1,2,2,76,4
175,219,6,1,1,5,4,7,3,6,3,7,4,3,5,4,4,2,7,5,2,6,5,64,4
183,198,7,1,1,4,6,6,3,6,6,6,4,3,5,3,4,2,7,7,1,4,6,69,4
186,219,6,1,1,6,5,4,3,6,7,6,5,3,5,3,6,2,6,7,1,3,3,70,4
217,115,5,1,2,6,4,7,3,7,6,6,5,3,7,3,6,2,6,7,1,2,3,74,4
218,188,7,1,3,4,5,5,3,7,7,6,7,3,6,3,6,2,6,6,2,3,3,75,4
219,143,7,1,3,4,6,5,3,7,3,7,7,3,7,3,4,2,5,7,2,7,6,72,4
223,216,5,1,1,4,7,4,3,6,7,7,5,3,6,3,6,2,7,6,2,3,4,71,4
236,141,3,1,1,6,7,7,3,5,3,6,4,3,6,3,6,2,7,7,2,7,3,68,4
240,123,6,1,2,6,7,5,3,6,4,5,6,3,6,3,5,2,7,7,2,6,6,72,4
243,213,6,1,1,4,5,4,3,5,6,7,7,3,6,3,6,2,7,6,2,3,3,70,4
247,173,6,1,1,4,6,7,3,5,6,6,7,3,5,3,4,2,6,4,2,3,3,67,4
248,156,6,1,1,5,5,3,3,6,6,5,6,3,6,3,5,2,5,7,1,2,3,66,4
252,212,6,1,2,7,4,4,3,6,7,7,7,3,4,3,3,2,3,1,2,3,4,61,4
254,119,6,1,2,4,5,5,3,6,6,6,5,3,5,3,7,2,6,5,2,4,3,68,4
260,150,5,1,2,7,5,6,3,6,7,7,7,3,6,3,6,2,6,5,2,3,3,75,4
262,201,2,1,2,6,4,5,3,7,6,7,6,3,5,4,4,2,5,7,1,1,1,66,4
275,180,5,1,3,6,5,7,3,6,7,7,6,3,2,4,3,2,3,5,1,6,3,65,4
286,158,3,1,1,4,7,5,3,6,6,6,6,3,1,3,5,2,6,6,2,5,7,62,4
292,126,1,1,1,4,6,7,3,6,6,6,5,3,1,3,5,2,4,5,2,1,1,57,4
297,220,6,1,2,5,3,5,3,6,6,7,6,3,7,4,1,2,1,3,1,3,3,58,4
301,117,7,1,2,6,7,5,3,5,6,7,5,3,7,3,6,2,6,5,2,4,3,74,4
307,126,5,1,2,5,4,7,3,5,6,7,5,3,7,3,6,2,6,7,1,7,5,72,4
320,144,5,1,3,4,6,6,3,6,7,6,5,3,5,3,1,2,3,3,2,1,1,60,4
324,192,6,1,2,7,7,5,3,6,7,5,7,3,7,3,5,2,7,6,1,7,1,77,4
329,169,1,1,3,6,4,4,3,7,6,6,5,3,1,3,5,2,7,7,2,4,3,62,4
330,159,7,1,1,2,5,2,3,6,6,7,5,3,7,3,5,2,7,5,1,7,2,65,4
335,167,7,1,2,7,7,4,3,6,6,7,7,3,6,3,7,2,6,5,2,7,3,77,4
347,150,6,1,1,4,5,7,3,6,3,6,5,3,6,3,5,2,7,5,1,3,3,66,4
354,169,5,1,2,5,7,5,3,6,7,7,7,3,6,3,4,2,7,6,1,2,2,74,4
381,135,6,1,1,7,6,5,3,6,5,6,5,3,5,3,7,2,5,4,2,3,3,68,4
390,198,5,1,2,6,7,4,3,6,3,6,7,3,7,3,6,2,6,7,1,3,3,72,4
396,162,7,1,2,7,6,7,3,6,2,4,5,3,7,3,6,2,5,7,1,6,6,71,4
404,127,5,1,3,4,4,6,3,6,7,6,5,3,5,4,4,2,5,3,2,2,2,63,4
412,212,7,1,2,4,4,4,3,6,4,5,6,3,6,3,5,2,6,7,2,5,3,66,4
418,193,5,1,3,5,5,7,3,6,6,5,6,3,7,3,7,2,6,6,1,2,2,74,4
439,164,4,1,2,6,4,7,3,7,6,7,7,3,7,3,5,2,5,7,1,6,3,74,4
442,159,5,1,2,4,6,4,3,7,6,5,6,3,5,3,4,2,6,6,2,6,6,66,4
447,164,6,1,2,5,4,7,3,5,6,7,5,3,7,3,4,2,5,5,1,7,2,68,4
449,142,5,1,2,7,7,4,3,7,3,7,6,3,2,3,6,2,7,7,1,2,2,70,4
453,164,7,1,1,4,5,7,3,5,3,6,6,3,6,3,6,2,7,7,2,1,1,70,4
461,123,5,1,2,7,4,7,3,7,6,7,6,3,5,3,7,2,5,5,1,7,6,73,4
465,115,6,1,3,6,4,7,3,6,3,7,6,3,6,4,5,2,6,7,1,5,6,72,4
476,181,5,1,2,6,7,7,3,7,6,7,5,3,5,3,5,2,7,6,2,2,2,75,4
487,211,6,1,2,7,7,5,3,6,6,7,5,3,5,3,4,2,6,7,2,2,3,73,4
45,147,7,1,1,1,7,5,3,6,3,4,1,3,7,4,4,2,5,1,2,5,2,52,4
104,103,7,1,2,7,7,3,3,7,2,7,2,3,7,1,2,1,2,2,1,4,3,57,4
123,82,6,1,3,2,6,1,3,5,1,6,1,3,6,1,2,1,2,2,1,5,7,43,4
11,187,7,1,3,1,7,5,3,7,2,7,6,3,1,2,1,1,6,6,2,1,1,59,4
36,63,4,1,1,2,4,2,3,5,2,2,2,3,4,2,2,1,2,2,1,2,2,34,4
17,93,6,1,2,7,6,5,3,7,7,3,3,3,6,2,3,3,3,2,1,3,3,60,4
77,168,1,1,2,3,5,4,3,5,4,4,4,3,4,2,4,2,4,4,2,5,2,48,4
2,105,7,1,3,5,6,4,3,6,5,5,5,3,5,4,5,2,4,4,2,3,2,64,4
4,158,6,1,2,7,7,7,3,7,7,7,7,3,7,4,7,2,7,7,2,6,1,85,4
9,133,7,1,1,7,7,7,3,7,7,7,7,3,7,3,7,2,7,7,1,4,1,85,4
91,65,1,1,3,2,6,5,3,7,7,7,7,3,7,3,7,1,7,7,2,4,3,73,4
121,198,7,1,3,7,5,5,3,6,6,6,5,3,7,3,6,1,6,6,1,6,3,75,4
210,179,5,1,3,6,4,5,3,5,4,5,4,3,4,3,4,2,3,4,2,4,2,56,4
